Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad (grupos quinquenales);Tipo de dato;Periodo;Total
Total Nacional;;Total;Todas las edades;Dato base;2016SM02;8.718
Total Nacional;;Total;Todas las edades;Dato base;2016SM01;8.699
Total Nacional;;Total;Todas las edades;Dato base;2015SM53;8.469
Total Nacional;;Total;Todas las edades;Dato base;2015SM52;8.072
Total Nacional;;Total;Todas las edades;Dato base;2015SM51;8.373
Total Nacional;;Total;Todas las edades;Dato base;2015SM50;8.066
Total Nacional;;Total;Todas las edades;Dato base;2015SM49;8.112
Total Nacional;;Total;Todas las edades;Dato base;2015SM48;7.891
Total Nacional;;Total;Todas las edades;Dato base;2015SM47;7.434
Total Nacional;;Total;Todas las edades;Dato base;2015SM46;7.356
Total Nacional;;Total;Todas las edades;Dato base;2015SM45;7.447
Total Nacional;;Total;Todas las edades;Dato base;2015SM44;7.430
Total Nacional;;Total;Todas las edades;Dato base;2015SM43;7.310
Total Nacional;;Total;Todas las edades;Dato base;2015SM42;7.160
Total Nacional;;Total;Todas las edades;Dato base;2015SM41;7.108
Total Nacional;;Total;Todas las edades;Dato base;2015SM40;6.853
Total Nacional;;Total;Todas las edades;Dato base;2015SM39;6.949
Total Nacional;;Total;Todas las edades;Dato base;2015SM38;6.666
Total Nacional;;Total;Todas las edades;Dato base;2015SM37;6.709
Total Nacional;;Total;Todas las edades;Dato base;2015SM36;6.650
Total Nacional;;Total;Todas las edades;Dato base;2015SM35;6.983
Total Nacional;;Total;Todas las edades;Dato base;2015SM34;6.836
Total Nacional;;Total;Todas las edades;Dato base;2015SM33;7.116
Total Nacional;;Total;Todas las edades;Dato base;2015SM32;7.255
Total Nacional;;Total;Todas las edades;Dato base;2015SM31;7.391
Total Nacional;;Total;Todas las edades;Dato base;2015SM30;7.826
Total Nacional;;Total;Todas las edades;Dato base;2015SM29;8.204
Total Nacional;;Total;Todas las edades;Dato base;2015SM28;8.397
Total Nacional;;Total;Todas las edades;Dato base;2015SM27;8.180
Total Nacional;;Total;Todas las edades;Dato base;2015SM26;7.153
Total Nacional;;Total;Todas las edades;Dato base;2015SM25;7.004
Total Nacional;;Total;Todas las edades;Dato base;2015SM24;7.212
Total Nacional;;Total;Todas las edades;Dato base;2015SM23;7.410
Total Nacional;;Total;Todas las edades;Dato base;2015SM22;7.146
Total Nacional;;Total;Todas las edades;Dato base;2015SM21;7.282
Total Nacional;;Total;Todas las edades;Dato base;2015SM20;7.592
Total Nacional;;Total;Todas las edades;Dato base;2015SM19;7.510
Total Nacional;;Total;Todas las edades;Dato base;2015SM18;7.407
Total Nacional;;Total;Todas las edades;Dato base;2015SM17;7.833
Total Nacional;;Total;Todas las edades;Dato base;2015SM16;7.900
Total Nacional;;Total;Todas las edades;Dato base;2015SM15;7.926
Total Nacional;;Total;Todas las edades;Dato base;2015SM14;8.317
Total Nacional;;Total;Todas las edades;Dato base;2015SM13;8.401
Total Nacional;;Total;Todas las edades;Dato base;2015SM12;8.412
Total Nacional;;Total;Todas las edades;Dato base;2015SM11;8.834
Total Nacional;;Total;Todas las edades;Dato base;2015SM10;9.463
Total Nacional;;Total;Todas las edades;Dato base;2015SM09;10.114
Total Nacional;;Total;Todas las edades;Dato base;2015SM08;10.616
Total Nacional;;Total;Todas las edades;Dato base;2015SM07;10.892
Total Nacional;;Total;Todas las edades;Dato base;2015SM06;10.722
Total Nacional;;Total;Todas las edades;Dato base;2015SM05;11.090
Total Nacional;;Total;Todas las edades;Dato base;2015SM04;10.665
Total Nacional;;Total;Todas las edades;Dato base;2015SM03;10.783
Total Nacional;;Total;Todas las edades;Dato base;2015SM02;10.465
Total Nacional;;Total;Todas las edades;Dato base;2015SM01;9.652
Total Nacional;;Total;Todas las edades;Dato base;2014SM52;8.578
Total Nacional;;Total;Todas las edades;Dato base;2014SM51;8.275
Total Nacional;;Total;Todas las edades;Dato base;2014SM50;8.026
Total Nacional;;Total;Todas las edades;Dato base;2014SM49;7.679
Total Nacional;;Total;Todas las edades;Dato base;2014SM48;7.756
Total Nacional;;Total;Todas las edades;Dato base;2014SM47;7.666
Total Nacional;;Total;Todas las edades;Dato base;2014SM46;7.641
Total Nacional;;Total;Todas las edades;Dato base;2014SM45;7.365
Total Nacional;;Total;Todas las edades;Dato base;2014SM44;7.322
Total Nacional;;Total;Todas las edades;Dato base;2014SM43;7.360
Total Nacional;;Total;Todas las edades;Dato base;2014SM42;7.326
Total Nacional;;Total;Todas las edades;Dato base;2014SM41;7.041
Total Nacional;;Total;Todas las edades;Dato base;2014SM40;7.000
Total Nacional;;Total;Todas las edades;Dato base;2014SM39;6.555
Total Nacional;;Total;Todas las edades;Dato base;2014SM38;6.698
Total Nacional;;Total;Todas las edades;Dato base;2014SM37;6.728
Total Nacional;;Total;Todas las edades;Dato base;2014SM36;7.106
Total Nacional;;Total;Todas las edades;Dato base;2014SM35;7.043
Total Nacional;;Total;Todas las edades;Dato base;2014SM34;6.684
Total Nacional;;Total;Todas las edades;Dato base;2014SM33;6.772
Total Nacional;;Total;Todas las edades;Dato base;2014SM32;6.931
Total Nacional;;Total;Todas las edades;Dato base;2014SM31;6.891
Total Nacional;;Total;Todas las edades;Dato base;2014SM30;7.173
Total Nacional;;Total;Todas las edades;Dato base;2014SM29;7.097
Total Nacional;;Total;Todas las edades;Dato base;2014SM28;6.779
Total Nacional;;Total;Todas las edades;Dato base;2014SM27;6.888
Total Nacional;;Total;Todas las edades;Dato base;2014SM26;6.896
Total Nacional;;Total;Todas las edades;Dato base;2014SM25;7.291
Total Nacional;;Total;Todas las edades;Dato base;2014SM24;7.439
Total Nacional;;Total;Todas las edades;Dato base;2014SM23;7.186
Total Nacional;;Total;Todas las edades;Dato base;2014SM22;6.877
Total Nacional;;Total;Todas las edades;Dato base;2014SM21;6.949
Total Nacional;;Total;Todas las edades;Dato base;2014SM20;7.082
Total Nacional;;Total;Todas las edades;Dato base;2014SM19;7.383
Total Nacional;;Total;Todas las edades;Dato base;2014SM18;7.348
Total Nacional;;Total;Todas las edades;Dato base;2014SM17;7.032
Total Nacional;;Total;Todas las edades;Dato base;2014SM16;7.295
Total Nacional;;Total;Todas las edades;Dato base;2014SM15;7.670
Total Nacional;;Total;Todas las edades;Dato base;2014SM14;7.788
Total Nacional;;Total;Todas las edades;Dato base;2014SM13;7.761
Total Nacional;;Total;Todas las edades;Dato base;2014SM12;8.077
Total Nacional;;Total;Todas las edades;Dato base;2014SM11;7.838
Total Nacional;;Total;Todas las edades;Dato base;2014SM10;8.152
Total Nacional;;Total;Todas las edades;Dato base;2014SM09;8.295
Total Nacional;;Total;Todas las edades;Dato base;2014SM08;8.437
Total Nacional;;Total;Todas las edades;Dato base;2014SM07;8.858
Total Nacional;;Total;Todas las edades;Dato base;2014SM06;9.026
Total Nacional;;Total;Todas las edades;Dato base;2014SM05;8.906
Total Nacional;;Total;Todas las edades;Dato base;2014SM04;9.100
Total Nacional;;Total;Todas las edades;Dato base;2014SM03;9.159
Total Nacional;;Total;Todas las edades;Dato base;2014SM02;9.037
Total Nacional;;Total;Todas las edades;Dato base;2014SM01;9.080
Total Nacional;;Total;Todas las edades;Dato base;2013SM52;8.595
Total Nacional;;Total;Todas las edades;Dato base;2013SM51;8.483
Total Nacional;;Total;Todas las edades;Dato base;2013SM50;8.175
Total Nacional;;Total;Todas las edades;Dato base;2013SM49;8.210
Total Nacional;;Total;Todas las edades;Dato base;2013SM48;8.090
Total Nacional;;Total;Todas las edades;Dato base;2013SM47;7.495
Total Nacional;;Total;Todas las edades;Dato base;2013SM46;7.262
Total Nacional;;Total;Todas las edades;Dato base;2013SM45;7.395
Total Nacional;;Total;Todas las edades;Dato base;2013SM44;6.922
Total Nacional;;Total;Todas las edades;Dato base;2013SM43;7.053
Total Nacional;;Total;Todas las edades;Dato base;2013SM42;7.009
Total Nacional;;Total;Todas las edades;Dato base;2013SM41;6.555
Total Nacional;;Total;Todas las edades;Dato base;2013SM40;6.985
Total Nacional;;Total;Todas las edades;Dato base;2013SM39;6.959
Total Nacional;;Total;Todas las edades;Dato base;2013SM38;6.503
Total Nacional;;Total;Todas las edades;Dato base;2013SM37;6.420
Total Nacional;;Total;Todas las edades;Dato base;2013SM36;6.466
Total Nacional;;Total;Todas las edades;Dato base;2013SM35;6.510
Total Nacional;;Total;Todas las edades;Dato base;2013SM34;6.783
Total Nacional;;Total;Todas las edades;Dato base;2013SM33;6.816
Total Nacional;;Total;Todas las edades;Dato base;2013SM32;6.770
Total Nacional;;Total;Todas las edades;Dato base;2013SM31;6.834
Total Nacional;;Total;Todas las edades;Dato base;2013SM30;6.935
Total Nacional;;Total;Todas las edades;Dato base;2013SM29;7.102
Total Nacional;;Total;Todas las edades;Dato base;2013SM28;7.848
Total Nacional;;Total;Todas las edades;Dato base;2013SM27;7.331
Total Nacional;;Total;Todas las edades;Dato base;2013SM26;6.949
Total Nacional;;Total;Todas las edades;Dato base;2013SM25;6.704
Total Nacional;;Total;Todas las edades;Dato base;2013SM24;7.366
Total Nacional;;Total;Todas las edades;Dato base;2013SM23;7.210
Total Nacional;;Total;Todas las edades;Dato base;2013SM22;7.028
Total Nacional;;Total;Todas las edades;Dato base;2013SM21;6.975
Total Nacional;;Total;Todas las edades;Dato base;2013SM20;7.065
Total Nacional;;Total;Todas las edades;Dato base;2013SM19;7.212
Total Nacional;;Total;Todas las edades;Dato base;2013SM18;7.095
Total Nacional;;Total;Todas las edades;Dato base;2013SM17;7.058
Total Nacional;;Total;Todas las edades;Dato base;2013SM16;7.290
Total Nacional;;Total;Todas las edades;Dato base;2013SM15;7.574
Total Nacional;;Total;Todas las edades;Dato base;2013SM14;7.584
Total Nacional;;Total;Todas las edades;Dato base;2013SM13;7.742
Total Nacional;;Total;Todas las edades;Dato base;2013SM12;8.163
Total Nacional;;Total;Todas las edades;Dato base;2013SM11;7.990
Total Nacional;;Total;Todas las edades;Dato base;2013SM10;8.782
Total Nacional;;Total;Todas las edades;Dato base;2013SM09;8.510
Total Nacional;;Total;Todas las edades;Dato base;2013SM08;8.538
Total Nacional;;Total;Todas las edades;Dato base;2013SM07;8.639
Total Nacional;;Total;Todas las edades;Dato base;2013SM06;8.357
Total Nacional;;Total;Todas las edades;Dato base;2013SM05;8.385
Total Nacional;;Total;Todas las edades;Dato base;2013SM04;8.355
Total Nacional;;Total;Todas las edades;Dato base;2013SM03;8.600
Total Nacional;;Total;Todas las edades;Dato base;2013SM02;8.447
Total Nacional;;Total;Todas las edades;Dato base;2013SM01;7.944
Total Nacional;;Total;Todas las edades;Dato base;2012SM52;7.891
Total Nacional;;Total;Todas las edades;Dato base;2012SM51;7.892
Total Nacional;;Total;Todas las edades;Dato base;2012SM50;8.156
Total Nacional;;Total;Todas las edades;Dato base;2012SM49;7.773
Total Nacional;;Total;Todas las edades;Dato base;2012SM48;7.359
Total Nacional;;Total;Todas las edades;Dato base;2012SM47;7.331
Total Nacional;;Total;Todas las edades;Dato base;2012SM46;7.448
Total Nacional;;Total;Todas las edades;Dato base;2012SM45;7.406
Total Nacional;;Total;Todas las edades;Dato base;2012SM44;7.375
Total Nacional;;Total;Todas las edades;Dato base;2012SM43;6.722
Total Nacional;;Total;Todas las edades;Dato base;2012SM42;6.906
Total Nacional;;Total;Todas las edades;Dato base;2012SM41;6.883
Total Nacional;;Total;Todas las edades;Dato base;2012SM40;6.705
Total Nacional;;Total;Todas las edades;Dato base;2012SM39;6.316
Total Nacional;;Total;Todas las edades;Dato base;2012SM38;6.690
Total Nacional;;Total;Todas las edades;Dato base;2012SM37;6.579
Total Nacional;;Total;Todas las edades;Dato base;2012SM36;6.696
Total Nacional;;Total;Todas las edades;Dato base;2012SM35;6.578
Total Nacional;;Total;Todas las edades;Dato base;2012SM34;7.185
Total Nacional;;Total;Todas las edades;Dato base;2012SM33;6.874
Total Nacional;;Total;Todas las edades;Dato base;2012SM32;6.994
Total Nacional;;Total;Todas las edades;Dato base;2012SM31;6.782
Total Nacional;;Total;Todas las edades;Dato base;2012SM30;6.879
Total Nacional;;Total;Todas las edades;Dato base;2012SM29;6.653
Total Nacional;;Total;Todas las edades;Dato base;2012SM28;6.715
Total Nacional;;Total;Todas las edades;Dato base;2012SM27;6.482
Total Nacional;;Total;Todas las edades;Dato base;2012SM26;7.315
Total Nacional;;Total;Todas las edades;Dato base;2012SM25;6.625
Total Nacional;;Total;Todas las edades;Dato base;2012SM24;6.534
Total Nacional;;Total;Todas las edades;Dato base;2012SM23;6.797
Total Nacional;;Total;Todas las edades;Dato base;2012SM22;7.045
Total Nacional;;Total;Todas las edades;Dato base;2012SM21;7.017
Total Nacional;;Total;Todas las edades;Dato base;2012SM20;7.276
Total Nacional;;Total;Todas las edades;Dato base;2012SM19;7.658
Total Nacional;;Total;Todas las edades;Dato base;2012SM18;7.421
Total Nacional;;Total;Todas las edades;Dato base;2012SM17;7.592
Total Nacional;;Total;Todas las edades;Dato base;2012SM16;7.731
Total Nacional;;Total;Todas las edades;Dato base;2012SM15;7.660
Total Nacional;;Total;Todas las edades;Dato base;2012SM14;7.786
Total Nacional;;Total;Todas las edades;Dato base;2012SM13;8.169
Total Nacional;;Total;Todas las edades;Dato base;2012SM12;8.121
Total Nacional;;Total;Todas las edades;Dato base;2012SM11;8.939
Total Nacional;;Total;Todas las edades;Dato base;2012SM10;9.339
Total Nacional;;Total;Todas las edades;Dato base;2012SM09;10.583
Total Nacional;;Total;Todas las edades;Dato base;2012SM08;11.025
Total Nacional;;Total;Todas las edades;Dato base;2012SM07;11.147
Total Nacional;;Total;Todas las edades;Dato base;2012SM06;10.092
Total Nacional;;Total;Todas las edades;Dato base;2012SM05;9.300
Total Nacional;;Total;Todas las edades;Dato base;2012SM04;8.964
Total Nacional;;Total;Todas las edades;Dato base;2012SM03;9.262
Total Nacional;;Total;Todas las edades;Dato base;2012SM02;9.162
Total Nacional;;Total;Todas las edades;Dato base;2012SM01;8.729
Total Nacional;;Total;Todas las edades;Dato base;2011SM52;8.753
Total Nacional;;Total;Todas las edades;Dato base;2011SM51;8.408
Total Nacional;;Total;Todas las edades;Dato base;2011SM50;8.030
Total Nacional;;Total;Todas las edades;Dato base;2011SM49;7.849
Total Nacional;;Total;Todas las edades;Dato base;2011SM48;7.679
Total Nacional;;Total;Todas las edades;Dato base;2011SM47;7.346
Total Nacional;;Total;Todas las edades;Dato base;2011SM46;7.433
Total Nacional;;Total;Todas las edades;Dato base;2011SM45;7.435
Total Nacional;;Total;Todas las edades;Dato base;2011SM44;7.461
Total Nacional;;Total;Todas las edades;Dato base;2011SM43;7.337
Total Nacional;;Total;Todas las edades;Dato base;2011SM42;7.176
Total Nacional;;Total;Todas las edades;Dato base;2011SM41;7.139
Total Nacional;;Total;Todas las edades;Dato base;2011SM40;6.947
Total Nacional;;Total;Todas las edades;Dato base;2011SM39;6.813
Total Nacional;;Total;Todas las edades;Dato base;2011SM38;6.419
Total Nacional;;Total;Todas las edades;Dato base;2011SM37;6.745
Total Nacional;;Total;Todas las edades;Dato base;2011SM36;6.652
Total Nacional;;Total;Todas las edades;Dato base;2011SM35;6.670
Total Nacional;;Total;Todas las edades;Dato base;2011SM34;6.928
Total Nacional;;Total;Todas las edades;Dato base;2011SM33;7.087
Total Nacional;;Total;Todas las edades;Dato base;2011SM32;6.857
Total Nacional;;Total;Todas las edades;Dato base;2011SM31;6.945
Total Nacional;;Total;Todas las edades;Dato base;2011SM30;6.728
Total Nacional;;Total;Todas las edades;Dato base;2011SM29;6.657
Total Nacional;;Total;Todas las edades;Dato base;2011SM28;6.867
Total Nacional;;Total;Todas las edades;Dato base;2011SM27;6.913
Total Nacional;;Total;Todas las edades;Dato base;2011SM26;7.426
Total Nacional;;Total;Todas las edades;Dato base;2011SM25;7.076
Total Nacional;;Total;Todas las edades;Dato base;2011SM24;6.894
Total Nacional;;Total;Todas las edades;Dato base;2011SM23;6.732
Total Nacional;;Total;Todas las edades;Dato base;2011SM22;6.785
Total Nacional;;Total;Todas las edades;Dato base;2011SM21;7.253
Total Nacional;;Total;Todas las edades;Dato base;2011SM20;6.903
Total Nacional;;Total;Todas las edades;Dato base;2011SM19;7.035
Total Nacional;;Total;Todas las edades;Dato base;2011SM18;6.970
Total Nacional;;Total;Todas las edades;Dato base;2011SM17;7.120
Total Nacional;;Total;Todas las edades;Dato base;2011SM16;6.947
Total Nacional;;Total;Todas las edades;Dato base;2011SM15;7.103
Total Nacional;;Total;Todas las edades;Dato base;2011SM14;7.597
Total Nacional;;Total;Todas las edades;Dato base;2011SM13;7.677
Total Nacional;;Total;Todas las edades;Dato base;2011SM12;7.557
Total Nacional;;Total;Todas las edades;Dato base;2011SM11;7.879
Total Nacional;;Total;Todas las edades;Dato base;2011SM10;8.005
Total Nacional;;Total;Todas las edades;Dato base;2011SM09;7.849
Total Nacional;;Total;Todas las edades;Dato base;2011SM08;8.166
Total Nacional;;Total;Todas las edades;Dato base;2011SM07;8.526
Total Nacional;;Total;Todas las edades;Dato base;2011SM06;8.723
Total Nacional;;Total;Todas las edades;Dato base;2011SM05;8.686
Total Nacional;;Total;Todas las edades;Dato base;2011SM04;8.730
Total Nacional;;Total;Todas las edades;Dato base;2011SM03;8.446
Total Nacional;;Total;Todas las edades;Dato base;2011SM02;8.470
Total Nacional;;Total;Todas las edades;Dato base;2011SM01;8.908
Total Nacional;;Total;Todas las edades;Dato base;2010SM52;8.540
Total Nacional;;Total;Todas las edades;Dato base;2010SM51;7.953
Total Nacional;;Total;Todas las edades;Dato base;2010SM50;7.702
Total Nacional;;Total;Todas las edades;Dato base;2010SM49;7.812
Total Nacional;;Total;Todas las edades;Dato base;2010SM48;7.795
Total Nacional;;Total;Todas las edades;Dato base;2010SM47;7.565
Total Nacional;;Total;Todas las edades;Dato base;2010SM46;7.378
Total Nacional;;Total;Todas las edades;Dato base;2010SM45;7.334
Total Nacional;;Total;Todas las edades;Dato base;2010SM44;7.318
Total Nacional;;Total;Todas las edades;Dato base;2010SM43;7.340
Total Nacional;;Total;Todas las edades;Dato base;2010SM42;7.106
Total Nacional;;Total;Todas las edades;Dato base;2010SM41;6.718
Total Nacional;;Total;Todas las edades;Dato base;2010SM40;7.000
Total Nacional;;Total;Todas las edades;Dato base;2010SM39;6.692
Total Nacional;;Total;Todas las edades;Dato base;2010SM38;6.534
Total Nacional;;Total;Todas las edades;Dato base;2010SM37;6.368
Total Nacional;;Total;Todas las edades;Dato base;2010SM36;6.461
Total Nacional;;Total;Todas las edades;Dato base;2010SM35;6.595
Total Nacional;;Total;Todas las edades;Dato base;2010SM34;6.866
Total Nacional;;Total;Todas las edades;Dato base;2010SM33;6.586
Total Nacional;;Total;Todas las edades;Dato base;2010SM32;6.790
Total Nacional;;Total;Todas las edades;Dato base;2010SM31;6.690
Total Nacional;;Total;Todas las edades;Dato base;2010SM30;6.685
Total Nacional;;Total;Todas las edades;Dato base;2010SM29;6.919
Total Nacional;;Total;Todas las edades;Dato base;2010SM28;7.335
Total Nacional;;Total;Todas las edades;Dato base;2010SM27;7.389
Total Nacional;;Total;Todas las edades;Dato base;2010SM26;7.257
Total Nacional;;Total;Todas las edades;Dato base;2010SM25;6.833
Total Nacional;;Total;Todas las edades;Dato base;2010SM24;6.531
Total Nacional;;Total;Todas las edades;Dato base;2010SM23;6.516
Total Nacional;;Total;Todas las edades;Dato base;2010SM22;7.200
Total Nacional;;Total;Todas las edades;Dato base;2010SM21;7.204
Total Nacional;;Total;Todas las edades;Dato base;2010SM20;7.303
Total Nacional;;Total;Todas las edades;Dato base;2010SM19;6.917
Total Nacional;;Total;Todas las edades;Dato base;2010SM18;6.851
Total Nacional;;Total;Todas las edades;Dato base;2010SM17;7.259
Total Nacional;;Total;Todas las edades;Dato base;2010SM16;7.189
Total Nacional;;Total;Todas las edades;Dato base;2010SM15;7.513
Total Nacional;;Total;Todas las edades;Dato base;2010SM14;7.331
Total Nacional;;Total;Todas las edades;Dato base;2010SM13;7.257
Total Nacional;;Total;Todas las edades;Dato base;2010SM12;7.604
Total Nacional;;Total;Todas las edades;Dato base;2010SM11;7.811
Total Nacional;;Total;Todas las edades;Dato base;2010SM10;7.533
Total Nacional;;Total;Todas las edades;Dato base;2010SM09;7.511
Total Nacional;;Total;Todas las edades;Dato base;2010SM08;8.089
Total Nacional;;Total;Todas las edades;Dato base;2010SM07;8.322
Total Nacional;;Total;Todas las edades;Dato base;2010SM06;7.981
Total Nacional;;Total;Todas las edades;Dato base;2010SM05;8.172
Total Nacional;;Total;Todas las edades;Dato base;2010SM04;8.089
Total Nacional;;Total;Todas las edades;Dato base;2010SM03;8.351
Total Nacional;;Total;Todas las edades;Dato base;2010SM02;8.673
Total Nacional;;Total;Todas las edades;Dato base;2010SM01;8.226
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM52;5.514
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM51;5.021
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM50;4.532
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM49;4.305
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM48;4.361
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM47;4.067
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM46;4.186
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM45;4.196
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM44;3.994
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM43;3.986
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM42;3.847
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM41;3.840
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM40;4.028
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM39;3.958
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM38;3.751
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM37;3.694
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM36;3.897
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM35;3.934
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM34;4.265
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM33;3.938
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM32;3.926
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM31;3.903
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM30;3.893
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM29;3.998
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM28;3.993
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM27;3.792
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM26;3.922
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM25;3.778
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM24;3.843
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM23;3.869
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM22;3.846
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM21;3.913
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM20;3.886
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM19;3.826
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM18;3.892
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM17;4.110
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM16;4.064
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM15;4.187
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM14;4.104
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM13;4.183
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM12;4.272
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM11;4.481
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM10;4.758
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM09;4.715
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM08;4.842
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM07;4.979
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM06;5.003
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM05;5.025
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM04;4.846
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM03;4.928
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM02;4.977
Total Nacional;;Hombres;Todas las edades;Dato base;2023SM01;4.998
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM52;4.280
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM51;4.769
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM50;4.695
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM49;4.814
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM48;4.655
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM47;4.239
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM46;4.296
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM45;4.186
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM44;3.912
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM43;4.105
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM42;4.096
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM41;3.872
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM40;4.074
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM39;3.908
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM38;3.765
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM37;3.844
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM36;3.991
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM35;3.829
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM34;4.064
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM33;4.116
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM32;4.635
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM31;4.631
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM30;4.817
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM29;5.218
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM28;5.396
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM27;4.649
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM26;4.349
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM25;4.385
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM24;4.669
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM23;4.105
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM22;4.164
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM21;4.095
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM20;4.410
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM19;4.435
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM18;4.321
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM17;4.327
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM16;4.256
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM15;4.462
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM14;4.381
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM13;4.410
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM12;4.330
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM11;4.342
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM10;4.356
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM09;4.353
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM08;4.517
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM07;4.774
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM06;5.130
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM05;5.613
Total Nacional;;Hombres;Todas las edades;Dato base;2022SM04;5.897
