Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad (grupos quinquenales);Tipo de dato;Periodo;Total
Total Nacional;;Total;Todas las edades;Dato base;2022SM21;8.238
Total Nacional;;Total;Todas las edades;Dato base;2022SM20;8.930
Total Nacional;;Total;Todas las edades;Dato base;2022SM19;8.832
Total Nacional;;Total;Todas las edades;Dato base;2022SM18;8.524
Total Nacional;;Total;Todas las edades;Dato base;2022SM17;8.511
Total Nacional;;Total;Todas las edades;Dato base;2022SM16;8.410
Total Nacional;;Total;Todas las edades;Dato base;2022SM15;8.707
Total Nacional;;Total;Todas las edades;Dato base;2022SM14;8.714
Total Nacional;;Total;Todas las edades;Dato base;2022SM13;8.525
Total Nacional;;Total;Todas las edades;Dato base;2022SM12;8.523
Total Nacional;;Total;Todas las edades;Dato base;2022SM11;8.574
Total Nacional;;Total;Todas las edades;Dato base;2022SM10;8.537
Total Nacional;;Total;Todas las edades;Dato base;2022SM09;8.694
Total Nacional;;Total;Todas las edades;Dato base;2022SM08;8.931
Total Nacional;;Total;Todas las edades;Dato base;2022SM07;9.316
Total Nacional;;Total;Todas las edades;Dato base;2022SM06;10.103
Total Nacional;;Total;Todas las edades;Dato base;2022SM05;10.886
Total Nacional;;Total;Todas las edades;Dato base;2022SM04;11.205
Total Nacional;;Total;Todas las edades;Dato base;2022SM03;10.855
Total Nacional;;Total;Todas las edades;Dato base;2022SM02;10.670
Total Nacional;;Total;Todas las edades;Dato base;2022SM01;9.953
Total Nacional;;Total;Todas las edades;Dato base;2021SM52;9.998
Total Nacional;;Total;Todas las edades;Dato base;2021SM51;9.822
Total Nacional;;Total;Todas las edades;Dato base;2021SM50;9.543
Total Nacional;;Total;Todas las edades;Dato base;2021SM49;9.049
Total Nacional;;Total;Todas las edades;Dato base;2021SM48;9.418
Total Nacional;;Total;Todas las edades;Dato base;2021SM47;8.884
Total Nacional;;Total;Todas las edades;Dato base;2021SM46;8.833
Total Nacional;;Total;Todas las edades;Dato base;2021SM45;8.772
Total Nacional;;Total;Todas las edades;Dato base;2021SM44;7.869
Total Nacional;;Total;Todas las edades;Dato base;2021SM43;8.221
Total Nacional;;Total;Todas las edades;Dato base;2021SM42;7.790
Total Nacional;;Total;Todas las edades;Dato base;2021SM41;7.644
Total Nacional;;Total;Todas las edades;Dato base;2021SM40;7.575
Total Nacional;;Total;Todas las edades;Dato base;2021SM39;7.588
Total Nacional;;Total;Todas las edades;Dato base;2021SM38;7.467
Total Nacional;;Total;Todas las edades;Dato base;2021SM37;7.550
Total Nacional;;Total;Todas las edades;Dato base;2021SM36;7.929
Total Nacional;;Total;Todas las edades;Dato base;2021SM35;7.975
Total Nacional;;Total;Todas las edades;Dato base;2021SM34;8.254
Total Nacional;;Total;Todas las edades;Dato base;2021SM33;8.807
Total Nacional;;Total;Todas las edades;Dato base;2021SM32;8.903
Total Nacional;;Total;Todas las edades;Dato base;2021SM31;8.691
Total Nacional;;Total;Todas las edades;Dato base;2021SM30;8.392
Total Nacional;;Total;Todas las edades;Dato base;2021SM29;8.505
Total Nacional;;Total;Todas las edades;Dato base;2021SM28;7.593
Total Nacional;;Total;Todas las edades;Dato base;2021SM27;7.574
Total Nacional;;Total;Todas las edades;Dato base;2021SM26;7.587
Total Nacional;;Total;Todas las edades;Dato base;2021SM25;7.312
Total Nacional;;Total;Todas las edades;Dato base;2021SM24;7.833
Total Nacional;;Total;Todas las edades;Dato base;2021SM23;7.737
Total Nacional;;Total;Todas las edades;Dato base;2021SM22;7.371
Total Nacional;;Total;Todas las edades;Dato base;2021SM21;7.454
Total Nacional;;Total;Todas las edades;Dato base;2021SM20;7.627
Total Nacional;;Total;Todas las edades;Dato base;2021SM19;7.759
Total Nacional;;Total;Todas las edades;Dato base;2021SM18;8.082
Total Nacional;;Total;Todas las edades;Dato base;2021SM17;7.880
Total Nacional;;Total;Todas las edades;Dato base;2021SM16;8.112
Total Nacional;;Total;Todas las edades;Dato base;2021SM15;7.964
Total Nacional;;Total;Todas las edades;Dato base;2021SM14;8.097
Total Nacional;;Total;Todas las edades;Dato base;2021SM13;8.218
Total Nacional;;Total;Todas las edades;Dato base;2021SM12;8.211
Total Nacional;;Total;Todas las edades;Dato base;2021SM11;8.097
Total Nacional;;Total;Todas las edades;Dato base;2021SM10;8.331
Total Nacional;;Total;Todas las edades;Dato base;2021SM09;8.560
