Total Nacional;Comunidades y Ciudades Autónomas;Tipo de dato;Periodo;Total
Total Nacional;;Dato base;2012SM27;6.482
Total Nacional;;Dato base;2012SM26;7.315
Total Nacional;;Dato base;2012SM25;6.625
Total Nacional;;Dato base;2012SM24;6.534
Total Nacional;;Dato base;2012SM23;6.797
Total Nacional;;Dato base;2012SM22;7.045
Total Nacional;;Dato base;2012SM21;7.017
Total Nacional;;Dato base;2012SM20;7.276
Total Nacional;;Dato base;2012SM19;7.658
Total Nacional;;Dato base;2012SM18;7.421
Total Nacional;;Dato base;2012SM17;7.592
Total Nacional;;Dato base;2012SM16;7.731
Total Nacional;;Dato base;2012SM15;7.660
Total Nacional;;Dato base;2012SM14;7.786
Total Nacional;;Dato base;2012SM13;8.169
Total Nacional;;Dato base;2012SM12;8.121
Total Nacional;;Dato base;2012SM11;8.939
Total Nacional;;Dato base;2012SM10;9.339
Total Nacional;;Dato base;2012SM09;10.583
Total Nacional;;Dato base;2012SM08;11.025
Total Nacional;;Dato base;2012SM07;11.147
Total Nacional;;Dato base;2012SM06;10.092
Total Nacional;;Dato base;2012SM05;9.300
Total Nacional;;Dato base;2012SM04;8.964
Total Nacional;;Dato base;2012SM03;9.262
Total Nacional;;Dato base;2012SM02;9.162
Total Nacional;;Dato base;2012SM01;8.729
Total Nacional;;Dato base;2011SM52;8.753
Total Nacional;;Dato base;2011SM51;8.408
Total Nacional;;Dato base;2011SM50;8.030
Total Nacional;;Dato base;2011SM49;7.849
Total Nacional;;Dato base;2011SM48;7.679
Total Nacional;;Dato base;2011SM47;7.346
Total Nacional;;Dato base;2011SM46;7.433
Total Nacional;;Dato base;2011SM45;7.435
Total Nacional;;Dato base;2011SM44;7.461
Total Nacional;;Dato base;2011SM43;7.337
Total Nacional;;Dato base;2011SM42;7.176
Total Nacional;;Dato base;2011SM41;7.139
Total Nacional;;Dato base;2011SM40;6.947
Total Nacional;;Dato base;2011SM39;6.813
Total Nacional;;Dato base;2011SM38;6.419
Total Nacional;;Dato base;2011SM37;6.745
Total Nacional;;Dato base;2011SM36;6.652
Total Nacional;;Dato base;2011SM35;6.670
Total Nacional;;Dato base;2011SM34;6.928
Total Nacional;;Dato base;2011SM33;7.087
Total Nacional;;Dato base;2011SM32;6.857
Total Nacional;;Dato base;2011SM31;6.945
Total Nacional;;Dato base;2011SM30;6.728
Total Nacional;;Dato base;2011SM29;6.657
Total Nacional;;Dato base;2011SM28;6.867
Total Nacional;;Dato base;2011SM27;6.913
Total Nacional;;Dato base;2011SM26;7.426
Total Nacional;;Dato base;2011SM25;7.076
Total Nacional;;Dato base;2011SM24;6.894
Total Nacional;;Dato base;2011SM23;6.732
Total Nacional;;Dato base;2011SM22;6.785
Total Nacional;;Dato base;2011SM21;7.253
Total Nacional;;Dato base;2011SM20;6.903
Total Nacional;;Dato base;2011SM19;7.035
Total Nacional;;Dato base;2011SM18;6.970
Total Nacional;;Dato base;2011SM17;7.120
Total Nacional;;Dato base;2011SM16;6.947
Total Nacional;;Dato base;2011SM15;7.103
Total Nacional;;Dato base;2011SM14;7.597
Total Nacional;;Dato base;2011SM13;7.677
Total Nacional;;Dato base;2011SM12;7.557
Total Nacional;;Dato base;2011SM11;7.879
Total Nacional;;Dato base;2011SM10;8.005
Total Nacional;;Dato base;2011SM09;7.849
Total Nacional;;Dato base;2011SM08;8.166
Total Nacional;;Dato base;2011SM07;8.526
Total Nacional;;Dato base;2011SM06;8.723
Total Nacional;;Dato base;2011SM05;8.686
Total Nacional;;Dato base;2011SM04;8.730
Total Nacional;;Dato base;2011SM03;8.446
Total Nacional;;Dato base;2011SM02;8.470
Total Nacional;;Dato base;2011SM01;8.908
Total Nacional;;Dato base;2010SM52;8.540
Total Nacional;;Dato base;2010SM51;7.953
Total Nacional;;Dato base;2010SM50;7.702
Total Nacional;;Dato base;2010SM49;7.812
Total Nacional;;Dato base;2010SM48;7.795
Total Nacional;;Dato base;2010SM47;7.565
Total Nacional;;Dato base;2010SM46;7.378
Total Nacional;;Dato base;2010SM45;7.334
Total Nacional;;Dato base;2010SM44;7.318
Total Nacional;;Dato base;2010SM43;7.340
Total Nacional;;Dato base;2010SM42;7.106
Total Nacional;;Dato base;2010SM41;6.718
Total Nacional;;Dato base;2010SM40;7.000
Total Nacional;;Dato base;2010SM39;6.692
Total Nacional;;Dato base;2010SM38;6.534
Total Nacional;;Dato base;2010SM37;6.368
Total Nacional;;Dato base;2010SM36;6.461
Total Nacional;;Dato base;2010SM35;6.595
Total Nacional;;Dato base;2010SM34;6.866
Total Nacional;;Dato base;2010SM33;6.586
Total Nacional;;Dato base;2010SM32;6.790
Total Nacional;;Dato base;2010SM31;6.690
Total Nacional;;Dato base;2010SM30;6.685
Total Nacional;;Dato base;2010SM29;6.919
Total Nacional;;Dato base;2010SM28;7.335
Total Nacional;;Dato base;2010SM27;7.389
Total Nacional;;Dato base;2010SM26;7.257
Total Nacional;;Dato base;2010SM25;6.833
Total Nacional;;Dato base;2010SM24;6.531
Total Nacional;;Dato base;2010SM23;6.516
Total Nacional;;Dato base;2010SM22;7.200
Total Nacional;;Dato base;2010SM21;7.204
Total Nacional;;Dato base;2010SM20;7.303
Total Nacional;;Dato base;2010SM19;6.917
Total Nacional;;Dato base;2010SM18;6.851
Total Nacional;;Dato base;2010SM17;7.259
Total Nacional;;Dato base;2010SM16;7.189
Total Nacional;;Dato base;2010SM15;7.513
Total Nacional;;Dato base;2010SM14;7.331
Total Nacional;;Dato base;2010SM13;7.257
Total Nacional;;Dato base;2010SM12;7.604
Total Nacional;;Dato base;2010SM11;7.811
Total Nacional;;Dato base;2010SM10;7.533
Total Nacional;;Dato base;2010SM09;7.511
Total Nacional;;Dato base;2010SM08;8.089
Total Nacional;;Dato base;2010SM07;8.322
Total Nacional;;Dato base;2010SM06;7.981
Total Nacional;;Dato base;2010SM05;8.172
Total Nacional;;Dato base;2010SM04;8.089
Total Nacional;;Dato base;2010SM03;8.351
Total Nacional;;Dato base;2010SM02;8.673
Total Nacional;;Dato base;2010SM01;8.226
